,dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
0,./preprocessed_data_mis_not_standarized\bupa_preprocessed.csv,0.2,RF,"[8.488703070175438, 11.022301176470586, 8.996893274853802, 10.068018235294117, 9.733815497076023, 9.19070205882353, 10.26912821637427, 9.664118235294117, 8.221158187134503, 11.962121911764704, 10.96287119883041, 8.528302499999999, 10.562734210526315, 8.935970588235296, 8.32627105263158, 10.556946764705883, 10.801730116959064, 7.978265441176471, 10.055592543859648, 8.547134264705882, 8.732265935672515, 9.599972058823528, 8.791444298245613, 9.729967794117647, 9.60449298245614, 8.511762941176471, 7.643939181286551, 10.97983161764706, 8.111972514619884, 10.219834264705883, 9.634393421052632, 9.127996176470587, 9.837459502923977, 9.844386176470588, 8.06906038011696, 10.90766588235294, 10.043236695906433, 8.93319794117647, 7.982660380116958, 10.124645588235294, 8.00081418128655, 11.218912205882352, 9.156599269005849, 9.637977352941176, 8.461972514619884, 11.2792225, 9.121915789473684, 10.323303382352941, 8.69597441520468, 10.499529705882354, 8.98731023391813, 9.69818117647059, 11.240600877192982, 7.862864117647058, 9.368760233918128, 9.872353088235293, 9.362507017543859, 9.512706323529411, 8.19902865497076, 11.971721176470588, 10.345211403508774, 9.584932205882353, 10.170391812865496, 8.193158088235293, 8.335916959064326, 10.052218088235293, 9.89434269005848, 8.708529852941176, 9.837437865497076, 9.338601470588236, 7.932320029239765, 10.458108382352941, 9.42321403508772, 10.211457941176471, 10.954195467836257, 10.176881470588237, 11.79412514619883, 8.17928867647059, 9.806694444444444, 8.9979125, 8.739329093567251, 9.612931323529413, 8.254215350877194, 10.163367058823532, 7.550419444444445, 10.339519411764707, 9.4434100877193, 9.900409705882353, 10.130061403508773, 8.260239705882352, 9.644277777777779, 10.077410294117648, 10.299026461988305, 8.83964161764706, 8.149886842105264, 10.315280294117647, 7.3908021929824566, 11.008497647058824, 9.063629239766081, 9.07411132352941]",9.504,1.04
1,./preprocessed_data_mis_not_standarized\bupa_preprocessed.csv,0.2,RF[200],"[8.48178735380117, 10.781895588235296, 8.949813815789472, 10.096183051470588, 9.578132821637427, 9.147527426470589, 10.187015935672516, 9.57172025735294, 7.78229539473684, 11.765504117647058, 10.725081176900586, 8.223112242647058, 10.599319480994152, 8.596736139705884, 8.251924597953217, 10.327994595588233, 10.858552046783625, 7.844937389705881, 9.902451864035088, 8.363267977941176, 8.718493786549708, 9.542304779411763, 8.699218311403508, 9.709559595588235, 9.637110380116958, 8.494096139705881, 7.571675840643275, 10.848137279411766, 7.990408479532163, 10.283699595588233, 9.683309722222223, 9.223811029411763, 9.61636721491228, 9.48888518382353, 7.928037097953216, 10.975333345588234, 9.980431652046782, 8.87747080882353, 7.985852119883042, 10.246266838235295, 7.926683771929825, 11.098971911764707, 9.123936988304093, 9.743843713235295, 8.309702485380116, 11.01508643382353, 9.13440716374269, 10.098080477941178, 8.621325950292398, 10.205004779411764, 9.151272916666667, 9.43357025735294, 11.070483333333334, 7.597580735294118, 9.209919115497076, 9.660849558823529, 9.269843530701754, 9.408387389705881, 8.243715606725146, 11.861323051470587, 10.349634173976607, 9.101455367647057, 10.091772112573102, 8.256678602941175, 8.377051608187132, 9.92062382352941, 10.006954495614035, 8.593606911764706, 10.005598245614033, 9.081883897058823, 7.943205299707603, 10.294760698529412, 9.439083845029241, 10.001206654411765, 11.01205413011696, 10.315920330882351, 11.670565789473685, 8.231335514705883, 9.694458698830408, 8.802531066176469, 8.665354276315789, 9.677825257352941, 8.418546418128654, 10.131822830882353, 7.505428728070177, 10.379498529411764, 9.397942434210526, 9.86543544117647, 10.055660635964912, 8.057364742647058, 9.596882090643277, 9.720622500000001, 10.261063669590644, 8.66063775735294, 8.326466483918129, 10.299799852941176, 7.347569115497077, 10.958901286764707, 9.016445540935674, 8.960742757352943]",9.422,1.035
2,./preprocessed_data_mis_not_standarized\bupa_preprocessed.csv,0.2,RF[500],"[8.533625210526315, 10.78894855882353, 8.949063830409358, 9.987043158823528, 9.470218713450294, 9.116972205882353, 9.982667771929824, 9.535712100000001, 7.560056391812866, 11.662216864705881, 10.694371146198831, 8.274863682352942, 10.730260345029242, 8.549043311764706, 8.28820187134503, 10.25463057647059, 10.842608555555557, 7.86337824117647, 9.831606432748538, 8.3203885, 8.804990497076023, 9.547640611764708, 8.542836590643274, 9.77297925882353, 9.532225432748538, 8.530648300000001, 7.631045245614035, 10.92395795882353, 8.100796105263157, 10.24774833529412, 9.65045443859649, 9.306006829411766, 9.741472467836257, 9.540442323529412, 7.678743502923977, 10.976073617647058, 10.034074315789473, 8.789541888235295, 8.133407385964913, 10.232928023529412, 8.023165824561405, 11.09395246470588, 9.12345349122807, 9.513867852941177, 8.31589870760234, 10.881546964705883, 8.956155953216374, 10.131995264705884, 8.612722859649123, 10.16009104117647, 9.23140701754386, 9.43884708235294, 10.923263163742691, 7.550969182352941, 9.173376859649123, 9.821086641176471, 9.413071099415205, 9.472080182352942, 8.155761912280703, 11.729029858823528, 10.311971497076025, 9.13220314117647, 10.151636491228071, 8.098564870588234, 8.372306304093566, 9.923253023529412, 10.081036233918129, 8.498490194117647, 10.03427665497076, 8.797242494117645, 7.914987654970759, 10.245163435294117, 9.507646748538013, 10.024715558823528, 11.056606602339182, 9.877423417647059, 11.639584391812866, 8.251530958823528, 9.688952631578948, 8.79274192352941, 8.498690099415205, 9.676220652941174, 8.452708929824563, 10.105664382352943, 7.6323818713450295, 10.432526688235294, 9.325709584795321, 9.777782229411764, 10.111899450292398, 8.061797105882352, 9.517761976608186, 9.542069711764706, 10.333772134502924, 8.664834864705883, 8.267436204678363, 10.421711035294118, 7.183113812865496, 11.026671035294118, 8.958700660818714, 8.912407270588236]",9.4,1.036
3,./preprocessed_data_mis_not_standarized\bupa_preprocessed.csv,0.2,RF[md10],"[8.437075480143811, 10.99764544117647, 8.998076318063676, 10.099570703976035, 9.738589535940546, 9.207964591503268, 10.234963978232617, 9.696232230392157, 8.162854110826835, 11.953733530405495, 10.930538239116308, 8.501855726633986, 10.56917527647823, 8.935139226173803, 8.332622286996425, 10.537191458333332, 10.863044675804094, 7.9864467411356195, 10.045834915555051, 8.560811283378351, 8.736013489928524, 9.59700406771968, 8.779260951388888, 9.753537014399509, 9.634832959422367, 8.513355910947713, 7.63782325392847, 10.987573079738562, 8.137126515675764, 10.216250490112712, 9.613112149122806, 9.127620004084967, 9.80749200779727, 9.87100719493464, 8.087656525737295, 10.918602205882353, 10.051755834795323, 8.94023441405729, 8.010195294225145, 10.11417018999183, 8.010182161468487, 11.185017872263073, 9.166788652859, 9.647112988148594, 8.463607965379305, 11.325471724273044, 9.109584049595924, 10.304959251125634, 8.694330976973685, 10.51020380718954, 9.02274866796621, 9.705011527124183, 11.24145209389214, 7.8515076992463655, 9.344166552448831, 9.886421942810458, 9.36938475877193, 9.51034908496732, 8.167482481643924, 11.962727716503268, 10.33304770026919, 9.630002650163398, 10.196351772660817, 8.17919129172669, 8.307150795321638, 10.027030596405227, 9.854528476057686, 8.726990630106208, 9.835712561435095, 9.32658111519608, 7.955109591282896, 10.46441501895425, 9.412493408869398, 10.227894645547385, 10.946464583333332, 10.190551008986928, 11.761204788011696, 8.192008790849673, 9.810531972181613, 9.007723378267974, 8.728180998538011, 9.603090062173202, 8.2644721694282, 10.166581921035082, 7.544876461988304, 10.34258689484127, 9.438432245614035, 9.897153966503268, 10.129810769980507, 8.25430263888889, 9.677396023554255, 10.090246363235295, 10.286837932504874, 8.85137776143791, 8.130827079272255, 10.341608368055557, 7.361612788336582, 10.985340609599673, 9.026369598891291, 9.067385171568628]",9.504,1.04
4,./preprocessed_data_mis_not_standarized\bupa_preprocessed.csv,0.2,RF[md15],"[8.488703070175438, 11.022301176470586, 8.996893274853802, 10.068018235294117, 9.733815497076023, 9.19070205882353, 10.26912821637427, 9.664118235294117, 8.221158187134503, 11.962121911764704, 10.96287119883041, 8.528302499999999, 10.562734210526315, 8.935970588235296, 8.32627105263158, 10.556946764705883, 10.801730116959064, 7.978265441176471, 10.055592543859648, 8.547134264705882, 8.732265935672515, 9.599972058823528, 8.791444298245613, 9.729967794117647, 9.60449298245614, 8.511762941176471, 7.643939181286551, 10.97983161764706, 8.111972514619884, 10.219834264705883, 9.634393421052632, 9.127996176470587, 9.837459502923977, 9.844386176470588, 8.06906038011696, 10.90766588235294, 10.043236695906433, 8.93319794117647, 7.982660380116958, 10.124645588235294, 8.00081418128655, 11.218912205882352, 9.156599269005849, 9.637977352941176, 8.461972514619884, 11.2792225, 9.121915789473684, 10.323303382352941, 8.69597441520468, 10.499529705882354, 8.98731023391813, 9.69818117647059, 11.240600877192982, 7.862864117647058, 9.368760233918128, 9.872353088235293, 9.362507017543859, 9.512706323529411, 8.19902865497076, 11.971721176470588, 10.345211403508774, 9.584932205882353, 10.170391812865496, 8.193158088235293, 8.335916959064326, 10.052218088235293, 9.89434269005848, 8.708529852941176, 9.837437865497076, 9.338601470588236, 7.932320029239765, 10.458108382352941, 9.42321403508772, 10.211457941176471, 10.954195467836257, 10.176881470588237, 11.79412514619883, 8.17928867647059, 9.806694444444444, 8.9979125, 8.739329093567251, 9.612931323529413, 8.254215350877194, 10.163367058823532, 7.550419444444445, 10.339519411764707, 9.4434100877193, 9.900409705882353, 10.130061403508773, 8.260239705882352, 9.644277777777779, 10.077410294117648, 10.299026461988305, 8.83964161764706, 8.149886842105264, 10.315280294117647, 7.3908021929824566, 11.008497647058824, 9.063629239766081, 9.07411132352941]",9.504,1.04
5,./preprocessed_data_mis_not_standarized\bupa_preprocessed.csv,0.2,RF[md20],"[8.488703070175438, 11.022301176470586, 8.996893274853802, 10.068018235294117, 9.733815497076023, 9.19070205882353, 10.26912821637427, 9.664118235294117, 8.221158187134503, 11.962121911764704, 10.96287119883041, 8.528302499999999, 10.562734210526315, 8.935970588235296, 8.32627105263158, 10.556946764705883, 10.801730116959064, 7.978265441176471, 10.055592543859648, 8.547134264705882, 8.732265935672515, 9.599972058823528, 8.791444298245613, 9.729967794117647, 9.60449298245614, 8.511762941176471, 7.643939181286551, 10.97983161764706, 8.111972514619884, 10.219834264705883, 9.634393421052632, 9.127996176470587, 9.837459502923977, 9.844386176470588, 8.06906038011696, 10.90766588235294, 10.043236695906433, 8.93319794117647, 7.982660380116958, 10.124645588235294, 8.00081418128655, 11.218912205882352, 9.156599269005849, 9.637977352941176, 8.461972514619884, 11.2792225, 9.121915789473684, 10.323303382352941, 8.69597441520468, 10.499529705882354, 8.98731023391813, 9.69818117647059, 11.240600877192982, 7.862864117647058, 9.368760233918128, 9.872353088235293, 9.362507017543859, 9.512706323529411, 8.19902865497076, 11.971721176470588, 10.345211403508774, 9.584932205882353, 10.170391812865496, 8.193158088235293, 8.335916959064326, 10.052218088235293, 9.89434269005848, 8.708529852941176, 9.837437865497076, 9.338601470588236, 7.932320029239765, 10.458108382352941, 9.42321403508772, 10.211457941176471, 10.954195467836257, 10.176881470588237, 11.79412514619883, 8.17928867647059, 9.806694444444444, 8.9979125, 8.739329093567251, 9.612931323529413, 8.254215350877194, 10.163367058823532, 7.550419444444445, 10.339519411764707, 9.4434100877193, 9.900409705882353, 10.130061403508773, 8.260239705882352, 9.644277777777779, 10.077410294117648, 10.299026461988305, 8.83964161764706, 8.149886842105264, 10.315280294117647, 7.3908021929824566, 11.008497647058824, 9.063629239766081, 9.07411132352941]",9.504,1.04
6,./preprocessed_data_mis_not_standarized\bupa_preprocessed.csv,0.2,RF[md25],"[8.488703070175438, 11.022301176470586, 8.996893274853802, 10.068018235294117, 9.733815497076023, 9.19070205882353, 10.26912821637427, 9.664118235294117, 8.221158187134503, 11.962121911764704, 10.96287119883041, 8.528302499999999, 10.562734210526315, 8.935970588235296, 8.32627105263158, 10.556946764705883, 10.801730116959064, 7.978265441176471, 10.055592543859648, 8.547134264705882, 8.732265935672515, 9.599972058823528, 8.791444298245613, 9.729967794117647, 9.60449298245614, 8.511762941176471, 7.643939181286551, 10.97983161764706, 8.111972514619884, 10.219834264705883, 9.634393421052632, 9.127996176470587, 9.837459502923977, 9.844386176470588, 8.06906038011696, 10.90766588235294, 10.043236695906433, 8.93319794117647, 7.982660380116958, 10.124645588235294, 8.00081418128655, 11.218912205882352, 9.156599269005849, 9.637977352941176, 8.461972514619884, 11.2792225, 9.121915789473684, 10.323303382352941, 8.69597441520468, 10.499529705882354, 8.98731023391813, 9.69818117647059, 11.240600877192982, 7.862864117647058, 9.368760233918128, 9.872353088235293, 9.362507017543859, 9.512706323529411, 8.19902865497076, 11.971721176470588, 10.345211403508774, 9.584932205882353, 10.170391812865496, 8.193158088235293, 8.335916959064326, 10.052218088235293, 9.89434269005848, 8.708529852941176, 9.837437865497076, 9.338601470588236, 7.932320029239765, 10.458108382352941, 9.42321403508772, 10.211457941176471, 10.954195467836257, 10.176881470588237, 11.79412514619883, 8.17928867647059, 9.806694444444444, 8.9979125, 8.739329093567251, 9.612931323529413, 8.254215350877194, 10.163367058823532, 7.550419444444445, 10.339519411764707, 9.4434100877193, 9.900409705882353, 10.130061403508773, 8.260239705882352, 9.644277777777779, 10.077410294117648, 10.299026461988305, 8.83964161764706, 8.149886842105264, 10.315280294117647, 7.3908021929824566, 11.008497647058824, 9.063629239766081, 9.07411132352941]",9.504,1.04
7,./preprocessed_data_mis_not_standarized\bupa_preprocessed.csv,0.2,RF[mss3],"[8.40106930941358, 11.000278240400327, 8.933846034356725, 10.154813500816992, 9.453152258974985, 9.248279364787582, 10.459230815464588, 9.621178607148694, 8.110866008771929, 11.703482765522876, 10.955669776153345, 8.547014811887255, 10.508349478395063, 8.748855020424838, 8.367279260030863, 10.571467066993463, 10.858718598115662, 8.085432863562092, 10.023759834917152, 8.596848168913397, 8.779861072815137, 9.694417873325165, 8.746489640188434, 9.832096078594772, 9.724092976364522, 8.577005302287581, 7.677059990253411, 10.935343477001636, 8.175978589993502, 10.174690684232027, 9.755714694444444, 9.13790516748366, 9.80372576348278, 9.656192468341503, 8.079994375406109, 10.905742475490195, 10.072273091293047, 8.861482471405228, 7.989663665529564, 10.06282629901961, 7.94362047465887, 11.214650081944443, 9.197200749269005, 9.533945661764706, 8.459851977745288, 11.138910543300655, 9.041240224983754, 10.290664530392156, 8.716868808641976, 10.517385534109478, 8.935143067738792, 9.685605249183006, 11.069265846328786, 7.759131398080065, 9.307121204922028, 9.825454101429736, 9.392634178037685, 9.433386454248366, 8.205528791016894, 11.861091654411764, 10.425967461622806, 9.629088257761438, 10.093630944403834, 8.245971213562092, 8.327987616756008, 10.104058996119281, 9.94872529645874, 8.729326666666667, 9.732971795808966, 9.279806180555555, 7.887019480019492, 10.401193549836602, 9.422560400422354, 10.123627870751633, 11.033896718648473, 10.139874290522874, 11.91931320155133, 8.223368415032683, 9.852297364359975, 9.040294511846406, 8.704653508771928, 9.591088590686274, 8.322489639173165, 10.074434530228759, 7.6544156208577, 10.3595367626634, 9.486095739928526, 9.805692023529412, 10.154575029564652, 8.233437041339869, 9.60759967105263, 10.209429752859478, 10.194466743827162, 8.947542398897058, 8.174251372644575, 10.351033172998365, 7.291620313515271, 11.01936899509804, 8.956115969176414, 8.995173315972222]",9.492,1.031
8,./preprocessed_data_mis_not_standarized\bupa_preprocessed.csv,0.2,RF[mss4],"[8.354636807423654, 10.99714408455882, 8.992654411833984, 10.018310572630718, 9.488195941479857, 9.241255850163398, 10.383511739684861, 9.67015531989379, 8.104234594663744, 11.655743350857843, 10.953296375812217, 8.469811230678104, 10.513110205449967, 8.733455669035948, 8.33294782179987, 10.654489868790849, 11.003619105831707, 8.091060539011439, 10.009998534275502, 8.690431139011439, 8.724819667681937, 9.595616457924836, 8.694539834064328, 9.80656393255719, 9.815668604572775, 8.648184783741831, 7.7333149902128, 11.011359170629083, 8.22557422522742, 10.229051341911765, 9.708592480831708, 9.136335069526144, 9.869029789392464, 9.769373665277778, 8.05758243693145, 10.96139297267157, 9.970139628654971, 8.73926249129902, 7.990698104044834, 10.055918148651958, 7.9088407342836256, 11.043946012173201, 9.190594486354776, 9.595759567401961, 8.418601472384665, 11.189506397467321, 9.054966902859, 10.26193469427104, 8.66184051864035, 10.63065935469771, 9.05341707082521, 9.726419424060458, 11.049990872441521, 7.8574173267973855, 9.231700633000326, 9.872057717892156, 9.476678237491878, 9.324657944199346, 8.157968099943147, 12.052692857066992, 10.502225005441844, 9.481851294362745, 10.131803478923004, 8.305503397385621, 8.383857540042236, 10.018368517483658, 10.029222190951916, 8.735779827491832, 9.837871160128332, 9.214397773357677, 7.83980176185835, 10.478084762555856, 9.372056918737819, 10.187517295629085, 11.044455654808317, 10.049613047712418, 11.817842158097791, 8.284460838194445, 9.911583958089668, 9.061716643545752, 8.69791677063028, 9.623672963710485, 8.431740437378167, 10.078734669485293, 7.612343854938271, 10.406106047998367, 9.518241699033464, 9.791750718423202, 10.048754960891813, 8.292578352532681, 9.502874820784601, 10.12348990745965, 10.23490144838369, 8.88568590118464, 8.24490179085445, 10.283234101756538, 7.345974382837882, 11.073604610580064, 9.006443858552633, 9.030134695792484]",9.498,1.032
9,./preprocessed_data_mis_not_standarized\bupa_preprocessed.csv,0.2,RF[mss6],"[8.428096559934247, 11.071776897076123, 9.076526908266448, 9.9830780294974, 9.425466765031793, 9.2067312005844, 10.377149010031028, 9.70082045206666, 8.109836603777964, 11.701167546531947, 10.971259914692485, 8.477111566814227, 10.532337481683292, 8.549338204970322, 8.359403161815958, 10.599398187667566, 10.98217093760277, 8.044950402823629, 9.930905752601298, 8.751357970063859, 8.814321047617389, 9.648831025442679, 8.678218327051093, 9.760314897192211, 9.792064734329417, 8.59804211509187, 7.666360247331474, 11.042380683100161, 8.140149824793259, 10.20918878910856, 9.635830748663988, 9.175375241122282, 9.81591605461902, 9.735736177724284, 7.933520876035627, 10.902499746226825, 10.028201715204016, 8.840659391638322, 8.012533199571141, 10.116948735974853, 7.891348848655202, 11.116610780839004, 9.307329007082943, 9.533410998736995, 8.46693569523502, 11.190910603056016, 8.986369615193738, 10.224591699611512, 8.782415812931385, 10.623557252490162, 9.001789767859076, 9.656918638935782, 11.025946780359256, 7.75600254458846, 9.261494915694492, 9.879681078740454, 9.463323822141126, 9.286940866046628, 8.016482558236076, 11.830711929779408, 10.441718436338034, 9.575499630081104, 10.108208105554894, 8.247571823312242, 8.321998933145528, 10.063258749430608, 9.929059704708752, 8.763282858979842, 9.899538604661247, 9.094083317933375, 7.838400227226258, 10.48376877665874, 9.346167682513785, 10.117243778347174, 11.068355096565819, 10.053742416002512, 11.839485062775989, 8.172735277979735, 9.762929254626522, 8.947829110780562, 8.645900232227808, 9.63179963810816, 8.38848375366326, 10.185099505001167, 7.6101759870998595, 10.405865308126584, 9.552649447418355, 9.638840003142088, 10.02683979531832, 8.243723204984008, 9.583276407589533, 9.828056230101208, 10.281712068126668, 8.88268796359875, 8.171297196273587, 10.485344084668451, 7.277522546970564, 11.206688126060355, 8.99776850736439, 9.071549310304956]",9.483,1.043
